pmcid,pmid,table_index,table_ids,table_label,table_caption,table_url
PMC12395253,39566081,2,561348756348,table3,All management actions any time a after the first s-irAE among advanced NSCLC patients initiating ICI-containing therapy who experienced at least one s-irAE.,
PMC12395253,39566081,3,60693067367,table4,Multivariable Cox regression analysis of rwPFS and rwOS from ICI initiation among patients with advanced NSCLC.,
PMC12395253,39566081,4,41874700581,table1,Organ system Severe immune-related adverse events Skin • Rash • Pruritis • Vitiligo Gastrointestinal • Diarrhea • Colitis Endocrine • New or worsening hypothyroidism • Hyperthyroidism • Hypophysitis • Adrenal insufficiency • New onset insulin-dependent diabetes Hepatic • Hepatitis • Hepatotoxicity • Liver enzyme increase (based on provider documentation) • Drug-induced liver injury Pulmonary • Pneumonitis • Interstitial lung disease Musculoskeletal • Inflammatory arthritis Renal • Nephritis • Renal failure • Acute kidney injury Other • Cardiac conditions • Encephalitis • Uveitis • Pancreatitis • Guillain-Barre syndrome • Myasthenic syndrome,
PMC12395253,39566081,5,407664787294,table2,"Class Agent Corticosteroid (CS) Prednisone, Prednisolone, Methylprednisolone, Hydrocortisone, Budesonide, Dexamethasone, Meprednisone, Fludrocortisone, Cortisone, Triamcinolone, Betamethasone Immunosuppressive Drugs (ISD) Adalimumab, Antilymphocyte Immunoglobulin, Apremilast, Azathioprine, Basiliximab, Cyclophosphamide, Cyclosporine, Everolimus, Fluocortolone, Infliximab, Infliximab Biosimilar 1, Infliximab-Dyyb, Leflunomide, Lenalidomide, Lymphocyte Immune Globulin, Methotrexate, Methotrexate Sodium, Mycophenolate Mofetil, Mycophenolic Acid, Pirfenidone, Pomalidomide, Rituximab, Sirolimus, Tacrolimus, Temsirolimus, Thalidomide, Tocilizumab, Tofacitinib, Ustekinumab, Immune globulin intravenous, Antithymocyte Globulin",
PMC12454513,39602041,0,84482579877,table1,"The pharmacokinetic and physicochemical (ADME) properties of R-PFI-2, cyproheptadine, and nine compounds predicted by QikProp",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/3d46/12454513/fff93026daca/11030_2024_11038_Tab1_HTML.jpg
PMC12272067,40420790,0,207599275988,table1,"Characteristics of the obtained compounds 3, 5-6, 8, 11-12, and 10a-k.",
PMC12272067,40420790,1,718906241168,table2,The binding affinity of studied ligands with phosphoinositide 3-kinases gamma estimated by molecular docking calculations.,
PMC12272067,40420790,2,489723227419,table3,The binding affinity of studied ligands towards αβ-tubulin heterodimer (PDB 5M7E) was estimated by molecular docking calculations.,
PMC12212627,38437501,0,748023600132,table1,Description of Each Machine Learning Algorithm and the Parameters Employed in Virtual Screening,
PMC12212627,38437501,1,82549758611,table2,"Method, Cross-Validation MCC ( CV MCC), External Validation MCC ( EXT MCC), Cross-Validation AUC ( CV AUC), External Validation AUC ( EXT AUC), Cross-Validation F1-Score ( CV F1), and External Validation F1-Score ( CV F1) for the Selected Models for Each Subset",
PMC12212627,38437501,2,927823803481,table3,Hits in Virtual Screening Selected for the In Vitro Assays,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d0e4/12212627/9c392512201f/ci4c00087_0005.jpg
PMC12212627,38437501,3,768456218226,table4,"Minimum Inhibitory Concentration (MIC), Percentage of Inhibition, Cytotoxic Concentration of 50% (CC 50 ), and Selectivity Indexes (SI) of the Compounds Selected by the ML Models against MSSA, MRSA Strains, and E. coli",
PMC11733953,39740163,0,557465631937,table1,Selected Compounds and Their Inhibitory Activity,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/84c9/11733953/0858d6325608/ci4c02011_0009.jpg
PMC11755013,39850657,0,608118627510,table1,"Distribution of training, testing, and validation datasets.",
PMC11755013,39850657,1,923846994466,table2,"Pairwise sequence identity between training, testing, and validation datasets.",
PMC11730078,39811675,0,438661057767,table1,Top 20 peptide sequences after virtual screening.,
PMC11730078,39811675,1,376137602965,table2,ADMET prediction results for peptides.,
PMC11730078,39811675,2,763907632790,table3,Abalone active peptides and 1HWK interaction force analysis.,
PMC11722135,39795157,0,563487705544,table1,The ten hit compounds selected from the structure-based virtual screening either with their Glide or GOLD docking score and calculated binding free energies.,
PMC11722135,39795157,1,21263900769,table2,ADMET properties of the hits from structure-based and ligand-based virtual screening.,
PMC11720423,39796080,0,577506131839,table1,Summary of Datasets used in this work.,
PMC11720423,39796080,1,298257025973,table2,Performance Metrics of Up/Down-Regulated Gene Expression Ranking Prediction in a Single Cell Line.,
PMC11720423,39796080,2,757972973524,table3,Performance Metrics of Up/Down-Regulated Gene Expression Ranking Prediction in Multiple Cell Lines.,
PMC11720423,39796080,3,796236746197,table4,Performance Metrics of QSAR Models for PARP1.,
PMC11684895,39737570,0,940476749696,table1,Evaluation of the performance of six machine learning models and the ensemble approach for LBVS on the ChEMBL internal validation dataset with random splitting,
PMC11684895,39737570,1,971854020541,table2,Evaluation of the performance of six machine learning models and the ensemble approach for LBVS on the Lane et al. external validation dataset,
PMC11684895,39737570,2,780521299499,table3,The 15 top-ranked bioactive anti-Mtb candidates screened from the DrugBank database,
PMC11684895,39737570,3,953989882491,table4,The 15 selected anti-Mtb candidates and their MICs against Mtb reference strain H37Rv,
PMC11684895,39737570,4,609098474132,table5,"MICs of aldoxorubicin, quarfloxin, batefenterol, and elexacaftor against MDR-TB isolates",
PMC11684895,39737570,5,888521019488,table6,Molecular docking results of aldoxorubicin (DrugBank ID: DB06013) to Mtb DNA gyrase (PDB ID: 7UGW),
PMC11684895,39737570,6,764271124518,table7,Molecular docking results of quarfloxin (DrugBank ID: DB06638) to Mtb DNA gyrase (PDB ID: 7UGW),
PMC11743120,40074429,0,424860441375,table1,Predicted binding affinities (kcal/mol) and information pertinent to the top 30 compounds.,
PMC11743120,40074429,1,812848567952,table2,Intermolecular contacts between the VP28 trimer and bound ligands.,
PMC11743120,40074429,2,413960984485,table3,The analysis of drug-likeness and pharmacokinetic properties for the top four compounds identified via the SwissADME server.,
PMC11743120,40074429,3,698363727477,table4,The evaluation of the toxicity profiles induced by the four potential hit molecules.,
PMC11685841,39744090,0,673119701993,table1,Thermodynamic and kinetic parameters of wild‐type (WT) and 13M4.,
PMC11662536,39707350,0,384830541934,table1,Screened databases on Pharmit webserver,
PMC11662536,39707350,1,444427828364,table2,ADME properties of top 16 compounds,
PMC11733934,39696768,0,731083324278,table1,Comparison of the Properties of Molecules Generated via the Four Methods a,
PMC11733934,39696768,1,376053846182,table2,Fractions of Donor and Acceptor Atoms,
PMC11726667,39700339,0,318845332263,table1,Structures and Inhibitory Activities (Percentages of Inhibition at 10 or 1 μM) of the Compounds Selected as Potential h15-LOX-2 Inhibitors Using the VS Protocol Proposed in this Study,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/6969/11726667/008e3a04878f/jm4c01884_0009.jpg
PMC11657568,39696643,0,179961493430,table1,RMSD values (in Å) between top-scoring redocked poses of ligands and the conformations in co-crystal structures,
PMC11657568,39696643,1,718528849094,table2,Correlation of scores with kinetic data pIC 50 (pKi) for 73 known inhibitors,
PMC11657568,39696643,2,23270856710,table3,Correlation of molecular properties with kinetic data pIC 50 (pKi) for 73 known inhibitors,
PMC11679513,39771585,0,571545817235,table1,"Structure, NP class, Coconut ID, XP score, and MM-GBSA of the top 10 hits.",
PMC11679513,39771585,1,756159364122,table2,Binding residues and binding interactions of top 10 hits with GLP-1 allosteric site.,
PMC11679513,39771585,2,766363823953,table3,Key binding residues and binding interactions of initial XP and SP hits with GLP-1 allosteric site.,
PMC11679513,39771585,3,90685715684,table4,ADMET profiling of the best 10 hits.,
PMC11679513,39771585,4,173657973097,table5,"Physicochemical properties, drug-likeness, and medicinal chemistry prediction of the best 10 hits.",
PMC11651584,39689077,0,614153803526,table1,Molecular docking and non-bonding interaction analysis of the top four hit compounds along with reference drug galantamine.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t001.jpg
PMC11651584,39689077,1,616123298718,table2,H–bonds formed by the ligand molecule with the targeted proteins.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t002.jpg
PMC11651584,39689077,2,717944165679,table3,"Binding free energy results of (A) curcumene, (B) galantamine, (C) sterol and (D) viridifloral.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t003.jpg
PMC11651584,39689077,3,138200688451,table4,Lipinski’s rule of five parameters for the hit compounds.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t004.jpg
PMC11651584,39689077,4,95790222597,table5,ADMET properties of hit compounds with comparison to the reference drug.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t005.jpg
