pmcid,pmid,table_index,table_ids,table_label,table_caption,table_url
PMC11657568,39696643,2,730985116251,table3,Correlation of molecular properties with kinetic data pIC 50 (pKi) for 73 known inhibitors,
PMC11679513,39771585,0,874026844404,table1,"Structure, NP class, Coconut ID, XP score, and MM-GBSA of the top 10 hits.",
PMC11679513,39771585,1,916019838911,table2,Binding residues and binding interactions of top 10 hits with GLP-1 allosteric site.,
PMC11679513,39771585,2,910210147451,table3,Key binding residues and binding interactions of initial XP and SP hits with GLP-1 allosteric site.,
PMC11679513,39771585,3,824236218471,table4,ADMET profiling of the best 10 hits.,
PMC11679513,39771585,4,72576566831,table5,"Physicochemical properties, drug-likeness, and medicinal chemistry prediction of the best 10 hits.",
PMC11651584,39689077,0,186907494561,table1,Molecular docking and non-bonding interaction analysis of the top four hit compounds along with reference drug galantamine.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t001.jpg
PMC11651584,39689077,1,828498839594,table2,H–bonds formed by the ligand molecule with the targeted proteins.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t002.jpg
PMC11651584,39689077,2,641970887220,table3,"Binding free energy results of (A) curcumene, (B) galantamine, (C) sterol and (D) viridifloral.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t003.jpg
PMC11651584,39689077,3,522637454423,table4,Lipinski’s rule of five parameters for the hit compounds.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t004.jpg
PMC11651584,39689077,4,167870106577,table5,ADMET properties of hit compounds with comparison to the reference drug.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t005.jpg
