section_id,pmid,topic_category,path,section_category,article_category,fig_ids,table_ids,section_title
40919504_sec7,40919504,Protein Structure & Enzyme Engineering,Protein crowders and in-cell efforts,main,review,,,Protein crowders and in-cell efforts
40919504_sec8,40919504,Protein Structure & Enzyme Engineering,What's next,main,review,,,What's next
40919504_sec9,40919504,Protein Structure & Enzyme Engineering,CRediT authorship contribution statement,main,review,,,CRediT authorship contribution statement
40919504_sec10,40919504,Protein Structure & Enzyme Engineering,Declaration of competing interest,main,review,,,Declaration of competing interest
39739814_sec0,39739814,Protein Structure & Enzyme Engineering,abstract,abstract,research,,,Abstract
39739814_sec2,39739814,Protein Structure & Enzyme Engineering,Results > Identification of MALT1 as a Modulator of GPX4 Protein.,result,research,889192632976,,Identification of MALT1 as a Modulator of GPX4 Protein.
39739814_sec3,39739814,Protein Structure & Enzyme Engineering,Results > MALT1 Stabilizes GPX4 through Cleavage of E3 Ubiquitin Ligase RC3H1.,result,research,83030601360,,MALT1 Stabilizes GPX4 through Cleavage of E3 Ubiquitin Ligase RC3H1.
39739814_sec4,39739814,Protein Structure & Enzyme Engineering,Results > MALT1 Inhibition Triggers Ferroptosis in Liver Cancer Cells.,result,research,756397226797,,MALT1 Inhibition Triggers Ferroptosis in Liver Cancer Cells.
39739814_sec5,39739814,Protein Structure & Enzyme Engineering,Results > MALT1 Inhibitor Down-Regulates GPX4 through Ubiquitination-Mediated Degradation via RC3H1.,result,research,305162515488,,MALT1 Inhibitor Down-Regulates GPX4 through Ubiquitination-Mediated Degradation via RC3H1.
39739814_sec6,39739814,Protein Structure & Enzyme Engineering,Results > MALT1 Inhibition Is Synergistic with Sorafenib or Regorafenib.,result,research,409607464568,,MALT1 Inhibition Is Synergistic with Sorafenib or Regorafenib.
39739814_sec7,39739814,Protein Structure & Enzyme Engineering,Discussion,discussion,research,,,Discussion
39739814_sec8,39739814,Protein Structure & Enzyme Engineering,Materials and Methods,method,research,,,Materials and Methods
39739814_sec9,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Human Cell Lines and Culture Conditions.,method,research,,,Human Cell Lines and Culture Conditions.
39739814_sec10,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Compounds and Antibodies.,method,research,,,Compounds and Antibodies.
39739814_sec11,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > FACS-Based CRISPR-Cas9 Screening.,method,research,,,FACS-Based CRISPR-Cas9 Screening.
39739814_sec12,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Established Stable Cells.,method,research,,,Established Stable Cells.
39739814_sec13,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > qRT-PCR.,method,research,,,qRT-PCR.
39739814_sec14,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Western Blotting.,method,research,,,Western Blotting.
39739814_sec15,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Proteomic Analysis.,method,research,,,Proteomic Analysis.
39739814_sec16,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Ubiquitination Assay.,method,research,,,Ubiquitination Assay.
39739814_sec17,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Coimmunoprecipitation.,method,research,,,Coimmunoprecipitation.
39739814_sec18,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Compound Screens.,method,research,,,Compound Screens.
39739814_sec19,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Long-Term Cell Proliferation Assay.,method,research,,,Long-Term Cell Proliferation Assay.
39739814_sec20,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Transmission Electron Microscopy.,method,research,,,Transmission Electron Microscopy.
39739814_sec21,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Lipid Peroxidation Assessment.,method,research,,,Lipid Peroxidation Assessment.
39739814_sec22,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Xenografts.,method,research,,,Xenografts.
39739814_sec23,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > CRISPR-Cas9 Genetic Screens.,method,research,,,CRISPR-Cas9 Genetic Screens.
39739814_sec24,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > CellTitle-Blue Cell Viability Assay.,method,research,,,CellTitle-Blue Cell Viability Assay.
39739814_sec25,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Tissue Microarray and Scoring.,method,research,,,Tissue Microarray and Scoring.
39739814_sec26,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Generation of Liver Cancer Organoid.,method,research,,,Generation of Liver Cancer Organoid.
39739814_sec27,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Immunohistochemical Staining.,method,research,,,Immunohistochemical Staining.
39739814_sec28,39739814,Protein Structure & Enzyme Engineering,Materials and Methods > Statistics.,method,research,,,Statistics.
39739814_sec29,39739814,Protein Structure & Enzyme Engineering,Supplementary Material,other,research,,,Supplementary Material
39742998_sec0,39742998,Protein Structure & Enzyme Engineering,abstract,abstract,research,,,Abstract
39742998_sec2,39742998,Protein Structure & Enzyme Engineering,Results > H80 and E166 are essential for RNase J2 activity,result,research,391864557279,,H80 and E166 are essential for RNase J2 activity
39742998_sec3,39742998,Protein Structure & Enzyme Engineering,Results > Impact of the protonation state of H80 on RNase J2 activity,result,research,,,Impact of the protonation state of H80 on RNase J2 activity
39742998_sec4,39742998,Protein Structure & Enzyme Engineering,Results > Influence of the active site dynamics on RNase J2 activity,result,research,285615816132,,Influence of the active site dynamics on RNase J2 activity
39742998_sec5,39742998,Protein Structure & Enzyme Engineering,Results > Multiple residues can serve as a Lewis acid or base in RNase J2,result,research,710885609451,,Multiple residues can serve as a Lewis acid or base in RNase J2
39742998_sec6,39742998,Protein Structure & Enzyme Engineering,Results > A structural role for the metal cofactor in RNase J2,result,research,,tbl1,A structural role for the metal cofactor in RNase J2
39742998_sec7,39742998,Protein Structure & Enzyme Engineering,Results > The metal cofactor M B tethers interdomain movement in RNase J2,result,research,275635876383,,The metal cofactor M B tethers interdomain movement in RNase J2
39742998_sec8,39742998,Protein Structure & Enzyme Engineering,Results > Catalytically important water molecules at the active site,result,research,81931174572;872636412858,,Catalytically important water molecules at the active site
39742998_sec9,39742998,Protein Structure & Enzyme Engineering,Discussion,discussion,research,,,Discussion
39742998_sec11,39742998,Protein Structure & Enzyme Engineering,Method > Protein purification and crystallization,method,research,,,Protein purification and crystallization
39742998_sec12,39742998,Protein Structure & Enzyme Engineering,Method > Data collection and structure determination,method,research,,,Data collection and structure determination
39742998_sec13,39742998,Protein Structure & Enzyme Engineering,Method > Estimation of the protonation state of histidine from high-resolution crystal structures,method,research,,,Estimation of the protonation state of histidine from high-resolution crystal structures
39742998_sec14,39742998,Protein Structure & Enzyme Engineering,Method > RT-FeDEx assay for RNase J2 and its mutants,method,research,,,RT-FeDEx assay for RNase J2 and its mutants
39742998_sec15,39742998,Protein Structure & Enzyme Engineering,Method > Cloning of rnjB mutants for transformation in a rnjB deletion strain,method,research,,,Cloning of rnjB mutants for transformation in a rnjB deletion strain
39742998_sec16,39742998,Protein Structure & Enzyme Engineering,Method > Hemolysis assay,method,research,,,Hemolysis assay
39742998_sec17,39742998,Protein Structure & Enzyme Engineering,Method > Bacterial RNA isolation and relative expression of genes by RT-qPCR,method,research,,,Bacterial RNA isolation and relative expression of genes by RT-qPCR
39742998_sec19,39742998,Protein Structure & Enzyme Engineering,Method > Quantum mechanics/molecular mechanics (QM/MM) > Input files,method,research,,,Input files
39742998_sec20,39742998,Protein Structure & Enzyme Engineering,Method > Quantum mechanics/molecular mechanics (QM/MM) > MD simulations,method,research,,,MD simulations
39742998_sec21,39742998,Protein Structure & Enzyme Engineering,Method > Quantum mechanics/molecular mechanics (QM/MM) > QM/MM minimization,method,research,,,QM/MM minimization
39742998_sec22,39742998,Protein Structure & Enzyme Engineering,Data availability,other,research,,,Data availability
39742998_sec24,39742998,Protein Structure & Enzyme Engineering,Conflict of interest,other,research,,,Conflict of interest
39793047_sec0,39793047,Protein Structure & Enzyme Engineering,abstract,abstract,research,,,Abstract
39793047_sec2,39793047,Protein Structure & Enzyme Engineering,Results and Discussion > Engineered Linked TRAP Dimers (dTRAP) Enable Control Over Nearest-Neighbor Configurations.,result,research,,,Engineered Linked TRAP Dimers(dTRAP)Enable Control Over Nearest-Neighbor Configurations.
39793047_sec3,39793047,Protein Structure & Enzyme Engineering,Results and Discussion > Aha dTRAP Retains Native Oligomeric Structure and Strong Cooperativity in Trp Binding.,result,research,752824357686,,Aha dTRAP Retains Native Oligomeric Structure and Strong Cooperativity in Trp Binding.
39793047_sec4,39793047,Protein Structure & Enzyme Engineering,Results and Discussion > Eliminating NN Interactions Impairs Trp Binding.,result,research,215964148948,,Eliminating NN Interactions Impairs Trp Binding.
39793047_sec5,39793047,Protein Structure & Enzyme Engineering,Results and Discussion > Cryo-EM Single Particle Reconstruction of dTRAP WT-WT and WT-Mut Constructs.,result,research,213098102257;232739649958,,Cryo-EM Single Particle Reconstruction of dTRAP WT-WT and WT-Mut Constructs.
39793047_sec6,39793047,Protein Structure & Enzyme Engineering,Results and Discussion > Map Differences Correspond Primarily to the Trp Binding Loops.,result,research,,,Map Differences Correspond Primarily to the Trp Binding Loops.
39793047_sec7,39793047,Protein Structure & Enzyme Engineering,Results and Discussion > Ligand Binding Induces Increased Order at Neighboring Sites.,result,research,,,Ligand Binding Induces Increased Order at Neighboring Sites.
39793047_sec8,39793047,Protein Structure & Enzyme Engineering,Conclusions,discussion,research,139926982386,,Conclusions
39793047_sec10,39793047,Protein Structure & Enzyme Engineering,Methods > Preparation of Linked Aha TRAP Variants (dTRAP).,method,research,,,Preparation of Linked Aha TRAP Variants(dTRAP).
39793047_sec11,39793047,Protein Structure & Enzyme Engineering,Methods > Concentration of Components.,method,research,,,Concentration of Components.
39793047_sec12,39793047,Protein Structure & Enzyme Engineering,Methods > CD.,method,research,,,CD.
39793047_sec13,39793047,Protein Structure & Enzyme Engineering,Methods > ITC.,method,research,,,ITC.
39793047_sec14,39793047,Protein Structure & Enzyme Engineering,Methods > TROSY-HSQC NMR Spectra of Aha TRAP and dTRAP Variants.,method,research,,,TROSY-HSQC NMR Spectra of Aha TRAP and dTRAP Variants.
39793047_sec15,39793047,Protein Structure & Enzyme Engineering,Methods > dTRAP Structure Modeling and Prediction.,method,research,,,dTRAP Structure Modeling and Prediction.
39793047_sec16,39793047,Protein Structure & Enzyme Engineering,Methods > RNA Filter Binding Assay.,method,research,,,RNA Filter Binding Assay.
39793047_sec17,39793047,Protein Structure & Enzyme Engineering,Methods > Native Mass Spectrometry (nMS).,method,research,,,Native Mass Spectrometry(nMS).
39793047_sec18,39793047,Protein Structure & Enzyme Engineering,Methods > Cryo-EM Sample Preparation.,method,research,,,Cryo-EM Sample Preparation.
39793047_sec19,39793047,Protein Structure & Enzyme Engineering,Methods > Cryo-EM Data Collection.,method,research,,,Cryo-EM Data Collection.
39793047_sec20,39793047,Protein Structure & Enzyme Engineering,Methods > Cryo-EM Data Processing.,method,research,,,Cryo-EM Data Processing.
39793047_sec21,39793047,Protein Structure & Enzyme Engineering,Methods > Cryo-EM Model Building.,method,research,,,Cryo-EM Model Building.
39795995_sec0,39795995,Protein Structure & Enzyme Engineering,abstract,abstract,research,,,Abstract
39795995_sec1,39795995,Protein Structure & Enzyme Engineering,1. Introduction,introduction,research,,,Introduction
39795995_sec3,39795995,Protein Structure & Enzyme Engineering,2. Results > 2.1. The Productivity of the Fusion Protein R31 Needs to Be Enhanced,result,research,,,The Productivity of the Fusion Protein R31 Needs to Be Enhanced
39795995_sec4,39795995,Protein Structure & Enzyme Engineering,"2. Results > 2.2. The Productivity of R31 Was Improved by Incorporating an Additional Disulfide Bond, V231C/Y250C",result,research,,,"The Productivity of R31 Was Improved by Incorporating an Additional Disulfide Bond, V231C/Y250C"
39795995_sec5,39795995,Protein Structure & Enzyme Engineering,2. Results > 2.3. The Fusion Protein R31-G176K-V231C/Y250C Exhibited Improved Productivity and Thermal Stability,result,research,,,The Fusion Protein R31-G176K-V231C/Y250C Exhibited Improved Productivity and Thermal Stability
39795995_sec6,39795995,Protein Structure & Enzyme Engineering,2. Results > 2.4. The Fusion Protein R31-G176K-V231C/Y250C Showed Increased Anti-Fibrotic Activity,result,research,,,The Fusion Protein R31-G176K-V231C/Y250C Showed Increased Anti-Fibrotic Activity
39795995_sec7,39795995,Protein Structure & Enzyme Engineering,3. Discussion,discussion,research,,,Discussion
39795995_sec9,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.1. Animals,method,research,,,Animals
39795995_sec10,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.2. Expression and Purification of Fusion Proteins,method,research,,,Expression and Purification of Fusion Proteins
39795995_sec11,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.3. SDS-PAGE and Western Blot Analysis,method,research,,,SDS-PAGE and Western Blot Analysis
39795995_sec12,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.4. Computational Analysis of Residue Interactions,method,research,,,Computational Analysis of Residue Interactions
39795995_sec13,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.5. Protein Thermal Shift (PTS) Assay,method,research,,,Protein Thermal Shift(PTS)Assay
39795995_sec14,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.6. Isolation of Mouse Hepatic Stellate Cells (HSCs),method,research,,,Isolation of Mouse Hepatic Stellate Cells(HSCs)
39795995_sec15,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.7. Quantitative Real-Time PCR,method,research,,,Quantitative Real-Time PCR
39795995_sec16,39795995,Protein Structure & Enzyme Engineering,4. Materials and Methods > 4.8. Statistical Analysis,method,research,,,Statistical Analysis
39795995_sec17,39795995,Protein Structure & Enzyme Engineering,5. Conclusions,discussion,research,,,Conclusions
39795995_sec18,39795995,Protein Structure & Enzyme Engineering,6. Patents,other,research,,,Patents
39744096_sec0,39744096,Protein Structure & Enzyme Engineering,abstract,abstract,review,,,Abstract
39744096_sec1,39744096,Protein Structure & Enzyme Engineering,INTRODUCTION,introduction,review,,,INTRODUCTION
39744096_sec2,39744096,Protein Structure & Enzyme Engineering,KNOWLEDGE ALIGNMENT: PROTEIN ENGINEERING AND DEEP LEARNING,main,review,,,KNOWLEDGE ALIGNMENT: PROTEIN ENGINEERING AND DEEP LEARNING
39744096_sec3,39744096,Protein Structure & Enzyme Engineering,KNOWLEDGE ALIGNMENT: PROTEIN ENGINEERING AND DEEP LEARNING > The central dogma of protein engineering,main,review,794337632060,,The central dogma of protein engineering
39744096_sec4,39744096,Protein Structure & Enzyme Engineering,KNOWLEDGE ALIGNMENT: PROTEIN ENGINEERING AND DEEP LEARNING > Numerical characterization of proteins,main,review,,,Numerical characterization of proteins
39744096_sec5,39744096,Protein Structure & Enzyme Engineering,KNOWLEDGE ALIGNMENT: PROTEIN ENGINEERING AND DEEP LEARNING > Numerical characterization of proteins > Sequence,main,review,,,Sequence
39744096_sec6,39744096,Protein Structure & Enzyme Engineering,KNOWLEDGE ALIGNMENT: PROTEIN ENGINEERING AND DEEP LEARNING > Numerical characterization of proteins > Structure,main,review,,,Structure
39744096_sec7,39744096,Protein Structure & Enzyme Engineering,KNOWLEDGE ALIGNMENT: PROTEIN ENGINEERING AND DEEP LEARNING > Numerical characterization of proteins > Molecular properties,main,review,,,Molecular properties
39744096_sec8,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING,main,review,,,PROTEIN REPRESENTATION LEARNING
39744096_sec9,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein sequence encoding with language models,main,review,,,Protein sequence encoding with language models
39744096_sec10,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein sequence encoding with language models > Encoder‐only models,main,review,266500137035,,Encoder‐only models
39744096_sec11,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein sequence encoding with language models > Decoder‐only models,main,review,,,Decoder‐only models
39744096_sec12,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein sequence encoding with language models > Encoder‐decoder models,main,review,,,Encoder‐decoder models
39744096_sec13,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein structure encoding with geometric deep learning,main,review,574908976639,,Protein structure encoding with geometric deep learning
39744096_sec14,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein structure encoding with geometric deep learning > Neural message passing,main,review,,,Neural message passing
39744096_sec15,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein structure encoding with geometric deep learning > CNNs,main,review,,,CNNs
39744096_sec16,39744096,Protein Structure & Enzyme Engineering,PROTEIN REPRESENTATION LEARNING > Protein multimodal and multiscale joint encoding,main,review,,,Protein multimodal and multiscale joint encoding
39744096_sec17,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS,main,review,,mlf212157-tbl-0001,BENCHMARKS ON THE DOWNSTREAM TASKS
39744096_sec18,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > General benchmark,main,review,,,General benchmark
39744096_sec19,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Mutation effect prediction,main,review,,,Mutation effect prediction
39744096_sec20,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Structural homology detection,main,review,,,Structural homology detection
39744096_sec21,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Function prediction,main,review,,,Function prediction
39744096_sec22,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Function prediction > Solubility prediction,main,review,,,Solubility prediction
39744096_sec23,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Function prediction > Localization prediction,main,review,,,Localization prediction
39744096_sec24,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Function prediction > Annotation prediction,main,review,,,Annotation prediction
39744096_sec25,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Protein binding,main,review,,,Protein binding
39744096_sec26,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Protein binding > Compound–protein interaction,main,review,,,Compound–protein interaction
39744096_sec27,39744096,Protein Structure & Enzyme Engineering,BENCHMARKS ON THE DOWNSTREAM TASKS > Protein binding > Protein–protein interaction,main,review,,,Protein–protein interaction
39744096_sec28,39744096,Protein Structure & Enzyme Engineering,CONCLUDING REMARKS,discussion,review,,,CONCLUDING REMARKS
39744090_sec0,39744090,Protein Structure & Enzyme Engineering,abstract,abstract,research,,,Abstract
39744090_sec1,39744090,Protein Structure & Enzyme Engineering,INTRODUCTION,introduction,research,,,INTRODUCTION
39744090_sec3,39744090,Protein Structure & Enzyme Engineering,RESULTS > Efficient combination of multiple mutations guided by the fine‐tuned model,result,research,282875172603;421647246113;564846073807,,Efficient combination of multiple mutations guided by the fine‐tuned model
39744090_sec4,39744090,Protein Structure & Enzyme Engineering,RESULTS > Thermodynamic and kinetic stability of the best‐stabilized variant,result,research,,mlf212151-tbl-0001,Thermodynamic and kinetic stability of the best‐stabilized variant
39744090_sec5,39744090,Protein Structure & Enzyme Engineering,RESULTS > Molecular mechanisms underlying higher thermostability of 13M4,result,research,226769452598;723885884985,,Molecular mechanisms underlying higher thermostability of 13M4
39744090_sec6,39744090,Protein Structure & Enzyme Engineering,RESULTS > Epistatic effects of mutations captured by the fine‐tuned Pro‐PRIME model,result,research,376379813061,,Epistatic effects of mutations captured by the fine‐tuned Pro‐PRIME model
39744090_sec7,39744090,Protein Structure & Enzyme Engineering,DISCUSSION,discussion,research,,,DISCUSSION
39744090_sec9,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Materials,method,research,,,Materials
39744090_sec10,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Protein expression and purification,method,research,,,Protein expression and purification
39744090_sec11,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Activity assay,method,research,,,Activity assay
39744090_sec12,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Thermodynamic stability analysis,method,research,,,Thermodynamic stability analysis
39744090_sec13,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Kinetic stability analysis,method,research,,,Kinetic stability analysis
39744090_sec14,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Kinetic parameters,method,research,,,Kinetic parameters
39744090_sec15,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Fine‐tuning of the Pro‐PRIME,method,research,,,Fine‐tuning of the Pro‐PRIME
39744090_sec16,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Molecular dynamics simulations,method,research,,,Molecular dynamics simulations
39744090_sec17,39744090,Protein Structure & Enzyme Engineering,MATERIALS AND METHODS > Dynamics cross‐correlation matrix,method,research,,,Dynamics cross‐correlation matrix
39744090_sec18,39744090,Protein Structure & Enzyme Engineering,AUTHOR CONTRIBUTIONS,other,research,,,AUTHOR CONTRIBUTIONS
39725033_sec0,39725033,Protein Structure & Enzyme Engineering,abstract,abstract,research,,,Abstract
39725033_sec2,39725033,Protein Structure & Enzyme Engineering,Results > Impact of an SSA analog on the thermostability of SF3B1 in nuclear extract,result,research,920743619482,,Impact of an SSA analog on the thermostability of SF3B1 in nuclear extract
39725033_sec3,39725033,Protein Structure & Enzyme Engineering,Results > An unknown factor affects SF3B1 thermostability in some nuclear extract preparations,result,research,515044391345;720955001381,,An unknown factor affects SF3B1 thermostability in some nuclear extract preparations
39725033_sec4,39725033,Protein Structure & Enzyme Engineering,Results > Modulation of SF3B1 stability by other natural product scaffolds,result,research,193544203989,,Modulation of SF3B1 stability by other natural product scaffolds
39725033_sec5,39725033,Protein Structure & Enzyme Engineering,Results > WX-02-23 shifts SF3B1 thermostability and inhibits pre-mRNA splicing in vitro,result,research,43883393544;335025462873,,WX-02-23 shifts SF3B1 thermostability and inhibits pre-mRNA splicing in vitro
39725033_sec7,39725033,Protein Structure & Enzyme Engineering,Discussion > SF3B1 thermostability and natural product splicing inhibitors,discussion,research,,,SF3B1 thermostability and natural product splicing inhibitors
39725033_sec8,39725033,Protein Structure & Enzyme Engineering,Discussion > A new SF3B1 splicing inhibitor,discussion,research,,,A new SF3B1 splicing inhibitor
39725033_sec10,39725033,Protein Structure & Enzyme Engineering,Method > SF3B1 inhibitors,method,research,,,SF3B1 inhibitors
39725033_sec11,39725033,Protein Structure & Enzyme Engineering,Method > HeLa nuclear extract preparation,method,research,,,HeLa nuclear extract preparation
39725033_sec12,39725033,Protein Structure & Enzyme Engineering,Method > Thermal shift assay,method,research,,,Thermal shift assay
39725033_sec13,39725033,Protein Structure & Enzyme Engineering,Method > Dot blots,method,research,,,Dot blots
39725033_sec14,39725033,Protein Structure & Enzyme Engineering,Method > Western blot,method,research,,,Western blot
39725033_sec15,39725033,Protein Structure & Enzyme Engineering,Method > In vitro splicing assays,method,research,,,In vitro splicing assays
39725033_sec16,39725033,Protein Structure & Enzyme Engineering,Method > Native gel analysis,method,research,,,Native gel analysis
